Bracket Links ,,,Bracket Image,Liqui Page link 
2021-22,Fall ,Regional Event 1,https://rlesport.gg/downloads/brackets/2021-22_fall_1.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2021-22/Fall/Sub-Saharan_Africa/1
2021-22,Fall ,Regional Event 2,https://rlesport.gg/downloads/brackets/2021-22_fall_2.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2021-22/Fall/Sub-Saharan_Africa/2
2021-22,Fall ,Regional Event 3,https://rlesport.gg/downloads/brackets/2021-22_fall_3.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2021-22/Fall/Sub-Saharan_Africa/3
2021-22,Winter,Regional Event 1,https://rlesport.gg/downloads/brackets/2021-22_winter_1.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2021-22/Winter/Sub-Saharan_Africa/1
2021-22,Winter,Regional Event 2,https://rlesport.gg/downloads/brackets/2021-22_winter_2.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2021-22/Winter/Sub-Saharan_Africa/2
2021-22,Winter,Regional Event 3,https://rlesport.gg/downloads/brackets/2021-22_winter_3.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2021-22/Winter/Sub-Saharan_Africa/3
2021-22,Spring,Regional Event 1,https://rlesport.gg/downloads/brackets/2021-22_spring_1.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2021-22/Spring/Sub-Saharan_Africa/1
2021-22,Spring,Regional Event 2,https://rlesport.gg/downloads/brackets/2021-22_spring_2.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2021-22/Spring/Sub-Saharan_Africa/2
2021-22,Spring,Regional Event 3,https://rlesport.gg/downloads/brackets/2021-22_spring_3.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2021-22/Spring/Sub-Saharan_Africa/3
,,,,
2022-23,Fall ,Open,https://rlesport.gg/downloads/brackets/2023fall1.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2022-23/Fall/Sub-Saharan_Africa/Open
2022-23,Fall ,Cup,https://rlesport.gg/downloads/brackets/2023fall2.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2022-23/Fall/Sub-Saharan_Africa/Cup
2022-23,Fall ,Invitational,https://rlesport.gg/downloads/brackets/2023fall3.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2022-23/Fall/Sub-Saharan_Africa/Invitational
2022-23,Winter,Open,https://rlesport.gg/downloads/brackets/2023winter1.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2022-23/Winter/Sub-Saharan_Africa/Open
2022-23,Winter,Cup,https://rlesport.gg/downloads/brackets/2023winter2.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2022-23/Winter/Sub-Saharan_Africa/Cup
2022-23,Winter,Invitational,https://rlesport.gg/downloads/brackets/2023winter3.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2022-23/Winter/Sub-Saharan_Africa/Invitational
2022-23,Spring,Open,https://rlesport.gg/downloads/brackets/2023spring1.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2022-23/Spring/Sub-Saharan_Africa/Open
2022-23,Spring,Cup,https://rlesport.gg/downloads/brackets/2023spring2.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2022-23/Spring/Sub-Saharan_Africa/Cup
2022-23,Spring,Invitational,https://rlesport.gg/downloads/brackets/2023spring3.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2022-23/Fall/Sub-Saharan_Africa/Invitational
,,,,
2024,Major 1,Open Qualifier 1,https://rlesport.gg/downloads/brackets/2024-1.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2024/Major_1/Sub-Saharan_Africa/Open_Qualifier_1
2024,Major 1,Open Qualifier 2,https://rlesport.gg/downloads/brackets/2024-2.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2024/Major_1/Sub-Saharan_Africa/Open_Qualifier_2
2024,Major 1,Open Qualifier 3,https://rlesport.gg/downloads/brackets/2024-3.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2024/Major_1/Sub-Saharan_Africa/Open_Qualifier_3
2024,Major 2,Open Qualifier 4,https://rlesport.gg/downloads/brackets/2024-4.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2024/Major_2/Sub-Saharan_Africa/Open_Qualifier_4
2024,Major 2,Open Qualifier 5,https://rlesport.gg/downloads/brackets/2024-5.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2024/Major_2/Sub-Saharan_Africa/Open_Qualifier_5
2024,Major 2,Open Qualifier 6,https://rlesport.gg/downloads/brackets/2024-6.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2024/Major_2/Sub-Saharan_Africa/Open_Qualifier_6
,,,,
2025,Birmingham Major,Open 1,https://rlesport.gg/downloads/brackets/2025-1.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2025/Birmingham_Major/Sub-Saharan_Africa/Open_1
2025,Birmingham Major,Open 2,https://rlesport.gg/downloads/brackets/2025-2.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2025/Birmingham_Major/Sub-Saharan_Africa/Open_2
2025,Birmingham Major,Open 3,https://rlesport.gg/downloads/brackets/2025-3.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2025/Birmingham_Major/Sub-Saharan_Africa/Open_3
2025,Raleigh Major,Open 4,https://rlesport.gg/downloads/brackets/2025-4.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2025/Raleigh_Major/Sub-Saharan_Africa/Open_4
2025,Raleigh Major,Open 5,https://rlesport.gg/downloads/brackets/2025-5.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2025/Raleigh_Major/Sub-Saharan_Africa/Open_5
2025,Raleigh Major,Open 6,https://rlesport.gg/downloads/brackets/2025-6.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2025/Raleigh_Major/Sub-Saharan_Africa/Open_6
,,,,
2026,Boston Major,Open 1 ,https://rlesport.gg/downloads/brackets/2026-1.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2026/Boston_Major/Sub-Saharan_Africa/Open_1
2026,Boston Major,Open 2,https://rlesport.gg/downloads/brackets/2026-2.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2026/Boston_Major/Sub-Saharan_Africa/Open_2
2026,Boston Major,Open 3,https://rlesport.gg/downloads/brackets/2026-3.png,https://liquipedia.net/rocketleague/Rocket_League_Championship_Series/2026/Boston_Major/Sub-Saharan_Africa/Open_3